Year,Month,Clicks,Cost,Impr.,CTR,Avg. CPC,Cost / conv.,Conversions,Conv. rate
2023,January ,1279,$796.96,16147,7.92%,0.62,24.93,31.97,2.28%
2023,February ,2067,$823.20,29886,6.92%,0.4,15.25,53.98,2.58%
2023,March ,2256,$733.55,43248,5.22%,0.33,19.21,38.19,1.55%
2023,April ,2409,$635.51,36182,6.66%,0.26,12.42,51.18,2%
2023,May ,4584,$850.34,77785,5.89%,0.19,10.86,78.33,1.7%
2023,June ,4640,$818.89,75540,6.14%,0.18,22.75,36,0.77%
2023,July ,2953,$849.67,35826,8.24%,0.29,32.67,26.01,0.87%
2023,August ,2468,$598.70,30084,8.2%,0.24,25.79,23.21,0.94%
2023,September ,2425,$516.61,29519,8.22%,0.21,20.53,25.16,1.04%
2023,October ,2695,$856.61,27655,9.75%,0.32,25.89,33.08,1.23%
2023,November ,2968,$784.30,38176,7.77%,0.26,22.65,34.63,1.17%
2023,December ,3133,$723.35,42855,7.31%,0.23,45.23,15.99,0.51%
2024,January ,3692,$877.98,55189,6.69%,0.24,46.97,18.69,0.51%
2024,February ,3332,$703.13,53477,6.23%,0.21,50.08,14.04,0.42%
2024,March ,3714,"$2,486.57",73820,5.03%,0.67,52.65,47.23,1.03%
2024,April ,5240,"$4,311.66",130732,4.01%,0.82,53.83,80.09,1.29%
2024,May ,5958,"$4,622.64",155231,3.84%,0.78,34.73,133.12,2.14%
2024,June ,13263,"$5,503.98",321903,4.12%,0.41,34.24,160.74,1.2%
2024,July ,10835,"$4,839.91",235668,4.6%,0.45,23.09,209.6,1.9%
2024,August ,8055,"$5,330.96",177413,4.54%,0.66,83.28,64.01,0.76%
2024,September ,10801,"$5,279.33",218081,4.95%,0.49,77.1,68.47,0.59%
2024,October ,5914,"$4,566.69",172812,3.42%,0.77,53.35,85.6,0.87%
2024,November ,2765,"$2,373.72",57642,4.8%,0.86,62.61,37.91,0.72%
2024,December ,2575,"$2,147.96",48395,5.32%,0.83,61.37,35,0.94%
