Year,Month,Lead_ID Count,Clicks,Cost,Impressions,Click-Through Rate,Avg. Cost Per Click,Cost per lead,Conversion rate
2023,January,63,"2,896","2,673.29","58,387",4.96%,0.62,42.43,2.18%
2023,February,89,"2,558","1,919.85","45,493",5.62%,0.4,21.57,3.48%
2023,March,61,"2,708","2,189.32","71,090",3.81%,0.33,35.89,2.25%
2023,April,63,"3,952","1,869.69","253,750",1.56%,0.26,29.68,1.59%
2023,May,90,"6,078","2,023.71","272,900",2.23%,0.19,22.49,1.48%
2023,June,84,"6,110","2,080.88","182,994",3.34%,0.18,24.77,1.37%
2023,July,68,"4,603","2,047.17","209,238",2.20%,0.29,30.11,1.48%
2023,August,69,"4,709","2,034.20","298,253",1.58%,0.24,29.48,1.47%
2023,September,95,"4,868","2,013.06","333,969",1.46%,0.21,21.19,1.95%
2023,October,102,"5,661","2,598.19","444,232",1.27%,0.32,25.47,1.80%
2023,November,94,"4,866","2,172.81","225,590",2.16%,0.26,23.12,1.93%
2023,December,71,"4,405","2,108.95","103,226",4.27%,0.23,29.7,1.61%
2024,January,84,"5,532","2,818.34","179,904",3.07%,0.24,33.55,1.52%
2024,February,52,"5,047","1,938.51","129,960",3.88%,0.21,37.28,1.03%
2024,March,62,"4,827","3,793.38","122,715",3.93%,0.67,61.18,1.28%
2024,April,102,"6,498","5,547.69","172,990",3.76%,0.82,54.39,1.57%
2024,May,160,"7,507","6,095.83","203,376",3.69%,0.78,38.1,2.13%
2024,June,179,"14,398","6,858.84","372,180",3.87%,0.41,38.32,1.24%
2024,July,296,"11,853","6,450.00","284,119",4.17%,0.45,21.79,2.50%
2024,August,334,"9,225","6,877.53","212,609",4.34%,0.66,20.59,3.62%
2024,September,558,"12,140","7,001.18","250,883",4.84%,0.49,12.55,4.60%
2024,October,310,"6,808","5,644.38","194,074",3.51%,0.77,18.21,4.55%
2024,November,187,"3,619","3,548.30","98,081",3.69%,0.86,18.97,5.17%
2024,December,157,"3,319","3,115.33","62,474",5.31%,0.83,19.84,4.73%
