Lead ID,Lead Type,Status,Date,Source,Medium
120168877,Web Form,Unique,2023-12-30T08:05:35-05:00,google,cpc
120126267,Phone Call,Unique,2023-12-29T14:50:55-05:00,google,cpc
120064627,Web Form,Unique,2023-12-28T20:35:32-05:00,bing,cpc
120008515,Phone Call,Unique,2023-12-28T11:59:19-05:00,google,cpc
120006423,Phone Call,Unique,2023-12-28T11:46:27-05:00,google,cpc
119975175,Web Form,Unique,2023-12-28T06:37:53-05:00,google,cpc
119947771,Phone Call,Unique,2023-12-27T16:40:26-05:00,google,cpc
119936818,Phone Call,Unique,2023-12-27T15:15:25-05:00,google,cpc
119932569,Phone Call,Unique,2023-12-27T14:52:43-05:00,google,cpc
119910787,Phone Call,Unique,2023-12-27T12:44:19-05:00,google,cpc
119888784,Phone Call,Unique,2023-12-27T10:18:28-05:00,google,cpc
119825305,Phone Call,Unique,2023-12-26T14:29:04-05:00,google,cpc
119703080,Web Form,Unique,2023-12-23T20:21:59-05:00,google,cpc
119617052,Phone Call,Unique,2023-12-22T13:30:29-05:00,google,cpc
119588376,Phone Call,Unique,2023-12-22T10:02:36-05:00,google,cpc
119540649,Phone Call,Unique,2023-12-21T16:33:21-05:00,google,cpc
119425726,Phone Call,Unique,2023-12-20T13:55:52-05:00,google,cpc
119425008,Web Form,Unique,2023-12-20T13:50:19-05:00,google,cpc
119411072,Phone Call,Unique,2023-12-20T12:18:28-05:00,google,cpc
119391803,Phone Call,Unique,2023-12-20T10:30:01-05:00,google,cpc
119283815,Phone Call,Unique,2023-12-19T09:45:47-05:00,bing,cpc
119225563,Phone Call,Unique,2023-12-18T17:33:12-05:00,bing,cpc
119222139,Phone Call,Unique,2023-12-18T17:01:10-05:00,bing,cpc
119200232,Phone Call,Unique,2023-12-18T14:37:54-05:00,google,cpc
119176929,Phone Call,Unique,2023-12-18T12:54:49-05:00,google,cpc
119160714,Phone Call,Unique,2023-12-18T11:22:54-05:00,google,cpc
119159255,Phone Call,Unique,2023-12-18T11:14:37-05:00,bing,cpc
119145740,Phone Call,Unique,2023-12-18T09:59:14-05:00,google,cpc
119144879,Web Form,Unique,2023-12-18T09:54:00-05:00,bing,cpc
118967169,Phone Call,Unique,2023-12-15T12:34:09-05:00,bing,cpc
118942088,Web Form,Unique,2023-12-15T10:28:49-05:00,bing,cpc
118878738,Web Form,Unique,2023-12-14T14:56:30-05:00,google,cpc
118873032,Web Form,Unique,2023-12-14T14:13:03-05:00,google,cpc
118773126,Web Form,Unique,2023-12-13T15:01:52-05:00,google,cpc
118739447,Phone Call,Unique,2023-12-13T11:22:34-05:00,google,cpc
118721607,Phone Call,Unique,2023-12-13T09:06:04-05:00,bing,cpc
118695163,Web Form,Unique,2023-12-12T18:42:45-05:00,google,cpc
118668781,Phone Call,Unique,2023-12-12T15:02:14-05:00,bing,cpc
118659049,Phone Call,Unique,2023-12-12T13:59:09-05:00,google,cpc
118647761,Phone Call,Unique,2023-12-12T12:43:50-05:00,google,cpc
118591864,Web Form,Unique,2023-12-11T20:25:30-05:00,google,cpc
118589271,Web Form,Unique,2023-12-11T19:27:48-05:00,bing,cpc
118579797,Web Form,Unique,2023-12-11T17:18:18-05:00,google,cpc
118529878,Phone Call,Unique,2023-12-11T12:27:55-05:00,google,cpc
118525990,Phone Call,Unique,2023-12-11T12:04:55-05:00,google,cpc
118442638,Web Form,Unique,2023-12-10T08:57:07-05:00,google,cpc
118422688,Web Form,Unique,2023-12-09T17:51:16-05:00,bing,cpc
118367615,Phone Call,Unique,2023-12-08T17:58:51-05:00,google,cpc
118366890,Phone Call,Unique,2023-12-08T17:48:13-05:00,bing,cpc
118365268,Phone Call,Unique,2023-12-08T17:24:42-05:00,bing,cpc
118360147,Phone Call,Unique,2023-12-08T16:30:34-05:00,google,cpc
118350252,Web Form,Unique,2023-12-08T15:04:34-05:00,bing,cpc
118329517,Web Form,Unique,2023-12-08T12:23:55-05:00,google,cpc
118305865,Phone Call,Unique,2023-12-08T09:24:37-05:00,google,cpc
118265243,Phone Call,Unique,2023-12-07T16:49:23-05:00,google,cpc
118225098,Phone Call,Unique,2023-12-07T11:54:55-05:00,google,cpc
118214176,Phone Call,Unique,2023-12-07T10:41:06-05:00,google,cpc
118172322,Web Form,Unique,2023-12-06T18:20:38-05:00,google,cpc
118143266,Phone Call,Unique,2023-12-06T14:12:28-05:00,google,cpc
118119527,Phone Call,Unique,2023-12-06T11:27:34-05:00,google,cpc
118108151,Phone Call,Unique,2023-12-06T10:09:10-05:00,google,cpc
118044689,Phone Call,Unique,2023-12-05T14:57:13-05:00,google,cpc
118017509,Web Form,Unique,2023-12-05T12:00:40-05:00,google,cpc
117959580,Phone Call,Unique,2023-12-04T17:32:41-05:00,google,cpc
117952964,Phone Call,Unique,2023-12-04T16:35:35-05:00,google,cpc
117925752,Web Form,Unique,2023-12-04T13:42:26-05:00,bing,cpc
117913989,Phone Call,Unique,2023-12-04T12:32:45-05:00,google,cpc
117804737,Phone Call,Unique,2023-12-02T16:22:25-05:00,google,cpc
117801682,Web Form,Unique,2023-12-02T15:29:33-05:00,google,cpc
117786083,Web Form,Unique,2023-12-02T11:51:08-05:00,bing,cpc
117712449,Phone Call,Unique,2023-12-01T13:02:27-05:00,google,cpc
117641584,Phone Call,Unique,2023-11-30T16:54:41-05:00,google,cpc
117631115,Phone Call,Unique,2023-11-30T15:31:23-05:00,google,cpc
117587585,Phone Call,Unique,2023-11-30T10:45:22-05:00,google,cpc
117490290,Phone Call,Unique,2023-11-29T12:46:49-05:00,google,cpc
117463389,Phone Call,Unique,2023-11-29T09:52:09-05:00,google,cpc
117453484,Web Form,Unique,2023-11-29T08:19:57-05:00,google,cpc
117407018,Phone Call,Unique,2023-11-28T15:52:00-05:00,google,cpc
117382927,Phone Call,Unique,2023-11-28T13:22:24-05:00,bing,cpc
117382682,Phone Call,Unique,2023-11-28T13:20:55-05:00,google,cpc
117359907,Phone Call,Unique,2023-11-28T11:07:09-05:00,google,cpc
117356155,Phone Call,Unique,2023-11-28T10:44:38-05:00,bing,cpc
117343325,Phone Call,Unique,2023-11-28T09:18:33-05:00,google,cpc
117313482,Web Form,Unique,2023-11-27T19:19:05-05:00,google,cpc
117310135,Web Form,Unique,2023-11-27T18:28:50-05:00,google,cpc
117303824,Phone Call,Unique,2023-11-27T17:20:05-05:00,google,cpc
117283881,Phone Call,Unique,2023-11-27T15:09:19-05:00,google,cpc
117273222,Phone Call,Unique,2023-11-27T14:09:13-05:00,bing,cpc
117178887,Phone Call,Unique,2023-11-26T15:55:35-05:00,google,cpc
117016972,Web Form,Unique,2023-11-23T12:11:51-05:00,google,cpc
117014353,Web Form,Unique,2023-11-23T11:15:06-05:00,google,cpc
116881310,Web Form,Unique,2023-11-21T15:50:13-05:00,bing,cpc
116872007,Phone Call,Unique,2023-11-21T14:42:21-05:00,google,cpc
116832829,Phone Call,Unique,2023-11-21T10:13:30-05:00,google,cpc
116831095,Phone Call,Unique,2023-11-21T10:01:17-05:00,google,cpc
116789206,Web Form,Unique,2023-11-20T17:29:39-05:00,google,cpc
116773380,Phone Call,Unique,2023-11-20T15:28:35-05:00,google,cpc
116742949,Phone Call,Unique,2023-11-20T12:24:29-05:00,google,cpc
116720227,Phone Call,Unique,2023-11-20T10:17:04-05:00,google,cpc
116683902,Web Form,Unique,2023-11-19T19:36:16-05:00,bing,cpc
116628740,Web Form,Unique,2023-11-18T13:36:00-05:00,google,cpc
116579541,Phone Call,Unique,2023-11-17T15:57:03-05:00,google,cpc
116568554,Phone Call,Unique,2023-11-17T14:27:18-05:00,google,cpc
116530219,Phone Call,Unique,2023-11-17T09:45:31-05:00,bing,cpc
116523863,Phone Call,Unique,2023-11-17T08:44:24-05:00,google,cpc
116474512,Phone Call,Unique,2023-11-16T14:35:46-05:00,google,cpc
116466113,Phone Call,Unique,2023-11-16T13:36:44-05:00,google,cpc
116448633,Web Form,Unique,2023-11-16T11:36:39-05:00,bing,cpc
116371175,Phone Call,Unique,2023-11-15T14:18:30-05:00,google,cpc
116365270,Phone Call,Unique,2023-11-15T13:37:29-05:00,google,cpc
116337606,Phone Call,Unique,2023-11-15T10:39:12-05:00,google,cpc
116265409,Web Form,Unique,2023-11-14T14:16:36-05:00,google,cpc
116265152,Phone Call,Unique,2023-11-14T14:14:50-05:00,bing,cpc
116264485,Phone Call,Unique,2023-11-14T14:10:22-05:00,google,cpc
116253088,Phone Call,Unique,2023-11-14T12:54:27-05:00,google,cpc
116248514,Phone Call,Unique,2023-11-14T12:25:35-05:00,google,cpc
116235122,Phone Call,Unique,2023-11-14T11:04:51-05:00,google,cpc
116221391,Phone Call,Unique,2023-11-14T09:36:44-05:00,google,cpc
116174534,Phone Call,Unique,2023-11-13T16:25:19-05:00,bing,cpc
116149044,Web Form,Unique,2023-11-13T13:53:50-05:00,google,cpc
116121082,Phone Call,Unique,2023-11-13T11:21:14-05:00,google,cpc
116097303,Web Form,Unique,2023-11-13T09:06:31-05:00,google,cpc
116018482,Phone Call,Unique,2023-11-11T13:37:26-05:00,google,cpc
116012868,Web Form,Unique,2023-11-11T12:09:35-05:00,google,cpc
115929787,Phone Call,Unique,2023-11-10T11:02:45-05:00,google,cpc
115928155,Phone Call,Unique,2023-11-10T10:51:41-05:00,bing,cpc
115925551,Phone Call,Unique,2023-11-10T10:32:28-05:00,google,cpc
115827892,Phone Call,Unique,2023-11-09T10:44:28-05:00,google,cpc
115821121,Phone Call,Unique,2023-11-09T09:58:20-05:00,google,cpc
115762468,Phone Call,Unique,2023-11-08T14:58:53-05:00,google,cpc
115730405,Phone Call,Unique,2023-11-08T11:25:58-05:00,google,cpc
115711621,Phone Call,Unique,2023-11-08T09:18:23-05:00,google,cpc
115679449,Phone Call,Unique,2023-11-07T18:09:41-05:00,bing,cpc
115632349,Web Form,Unique,2023-11-07T12:21:11-05:00,google,cpc
115621699,Phone Call,Unique,2023-11-07T11:15:23-05:00,google,cpc
115609036,Phone Call,Unique,2023-11-07T09:56:10-05:00,google,cpc
115600318,Phone Call,Unique,2023-11-07T08:51:10-05:00,google,cpc
115572906,Phone Call,Unique,2023-11-06T18:30:27-05:00,google,cpc
115569109,Web Form,Unique,2023-11-06T17:43:16-05:00,google,cpc
115523006,Web Form,Unique,2023-11-06T12:45:32-05:00,google,cpc
115495237,Phone Call,Unique,2023-11-06T10:21:47-05:00,google,cpc
115491165,Phone Call,Unique,2023-11-06T10:01:00-05:00,google,cpc
115488148,Phone Call,Unique,2023-11-06T09:43:21-05:00,google,cpc
115478022,Web Form,Unique,2023-11-06T08:33:39-05:00,google,cpc
115435197,Web Form,Unique,2023-11-05T10:48:52-05:00,bing,cpc
115433238,Web Form,Unique,2023-11-05T10:05:07-05:00,google,cpc
115429482,Web Form,Unique,2023-11-05T08:34:09-05:00,google,cpc
115402490,Phone Call,Unique,2023-11-04T14:32:17-04:00,bing,cpc
115394715,Web Form,Unique,2023-11-04T12:29:39-04:00,google,cpc
115384595,Web Form,Unique,2023-11-04T09:54:46-04:00,bing,cpc
115335784,Phone Call,Unique,2023-11-03T14:10:04-04:00,google,cpc
115329392,Phone Call,Unique,2023-11-03T13:24:19-04:00,google,cpc
115297607,Web Form,Unique,2023-11-03T09:43:46-04:00,bing,cpc
115290807,Web Form,Unique,2023-11-03T08:32:43-04:00,bing,cpc
115224743,Phone Call,Unique,2023-11-02T13:06:10-04:00,google,cpc
115222942,Web Form,Unique,2023-11-02T12:54:35-04:00,google,cpc
115196122,Phone Call,Unique,2023-11-02T09:56:59-04:00,google,cpc
115189338,Phone Call,Unique,2023-11-02T09:00:03-04:00,google,cpc
115165594,Phone Call,Unique,2023-11-01T19:47:44-04:00,bing,cpc
115158416,Phone Call,Unique,2023-11-01T18:01:20-04:00,google,cpc
115138627,Phone Call,Unique,2023-11-01T15:26:18-04:00,google,cpc
115135219,Web Form,Unique,2023-11-01T15:03:25-04:00,google,cpc
115127662,Web Form,Unique,2023-11-01T14:11:50-04:00,google,cpc
115118663,Phone Call,Unique,2023-11-01T13:12:24-04:00,bing,cpc
115108937,Web Form,Unique,2023-11-01T12:07:14-04:00,bing,cpc
115054506,Web Form,Unique,2023-10-31T17:38:48-04:00,google,cpc
115029721,Web Form,Unique,2023-10-31T14:19:50-04:00,google,cpc
115003179,Phone Call,Unique,2023-10-31T11:24:29-04:00,google,cpc
114944027,Web Form,Unique,2023-10-30T16:55:43-04:00,google,cpc
