Year,Month,Cost,Lead_ID Count,Applications,Clicks,Impressions
2023,May,"$16,086.33 ",1650,192,13210,102558
2023,June,"$17,876.96 ",1626,329,14316,109108
2023,July,"$18,606.71 ",1744,290,14639,79494
2023,August,"$21,358.88 ",2251,352,17630,93263
2023,September,"$22,680.39 ",2183,350,18359,109070
2023,October,"$22,660.05 ",1886,288,16308,102792
2023,November,"$22,756.85 ",1313,209,12370,91463
2023,December,"$24,365.66 ",1688,198,15922,131852
2024,January,"$29,000.23 ",2405,349,20873,151735
2024,February,"$29,415.83 ",2583,350,23216,204887
2024,March,"$30,726.59 ",3766,465,31735,765586
2024,April,"$31,370.14 ",3051,421,30281,846251
2024,May,"$26,983.36 ",4167,449,34751,668098
2024,June,"$30,856.00 ",4385,499,37113,692196
2024,July,"$25,800.34 ",4153,625,34221,625117
2024,August,"$25,807.57 ",3263,462,33674,715065
2024,September,"$22,671.57 ",2150,355,23569,517942
2024,October,"$22,536.25 ",1807,212,21246,583503
2024,November,"$22,127.34 ",2783,378,26557,483700
2024,December,"$22,536.25 ",1876,370,22441,816100
2025,January,"$31,960.06 ",2541,356,30108,1305677
2025,February,"$37,108.62 ",3198,440,36175,680296
